zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
16937,STANDARD,0,Mills,,,PA,Potter County,America/New_York,814,NA,US,41.97,-77.71,193
16938,STANDARD,0,Morris,,Blackwell-Hoytville-Lorenton-Nauvoo-Oregon Hill-Plank,PA,Tioga County,America/New_York,570,NA,US,41.58,-77.37,650
16941,STANDARD,0,Genesee,North Bingham,,PA,Potter County,America/New_York,814,NA,US,41.99,-77.76,34
16942,STANDARD,0,Osceola,,,PA,Tioga County,America/New_York,,NA,US,41.98,-77.38,710
16943,STANDARD,0,Sabinsville,,Cathead-Hector-Sunderlinvle,PA,Tioga County,America/New_York,814,NA,US,41.83,-77.61,440
16946,STANDARD,0,Tioga,,,PA,Tioga County,America/New_York,570,NA,US,41.9,-77.13,2320
16947,STANDARD,0,Troy,W Burlington-West Burlington Township,,PA,Bradford County,America/New_York,570,NA,US,41.78,-76.78,4000
16948,STANDARD,0,Ulysses,,Bingham-Brookland-Newfield,PA,Potter County,America/New_York,814,NA,US,41.9,-77.75,1430
16950,STANDARD,0,Westfield,Cowanesque-Little Marsh,Brookfield-Elmer-Harrison Twp-Harrison Valley-North Fork-Potter Brook,PA,Tioga County,America/New_York,814,NA,US,41.91,-77.54,2870
17002,STANDARD,0,Allensville,,,PA,Mifflin County,America/New_York,717-814,NA,US,40.53,-77.81,680
17003,STANDARD,0,Annville,,Bellegrove-East Hanover-Ft Indiantown-Harper Tavern-Steelstown-Syner-West Annville,PA,Lebanon County,America/New_York,717,NA,US,40.33,-76.5,9980
17004,STANDARD,0,Belleville,,Alexander Spr-Alexander Springs-Menno-Union Mills,PA,Mifflin County,America/New_York,814-717,NA,US,40.6,-77.72,4700
17006,STANDARD,0,Blain,,,PA,Perry County,America/New_York,717,NA,US,40.33,-77.51,1100
17007,STANDARD,0,Boiling Springs,Boiling Sprgs,Boiling Spgs-South Middleton,PA,Cumberland County,America/New_York,717,NA,US,40.15,-77.13,5740
17009,STANDARD,0,Burnham,,,PA,Mifflin County,America/New_York,717,NA,US,40.63,-77.56,1770
17011,STANDARD,0,Camp Hill,Shiremanstown,,PA,Cumberland County,America/New_York,717,NA,US,40.24,-76.92,31080
17013,STANDARD,0,Carlisle,Carlisle Barracks-Carlisle Brks,,PA,Cumberland County,America/New_York,717,NA,US,40.2,-77.2,29910
17014,STANDARD,0,Cocolamus,,,PA,Juniata County,America/New_York,717,NA,US,40.65,-77.1,133
17015,STANDARD,0,Carlisle,W Pennsboro-West Pennsboro,,PA,Cumberland County,America/New_York,717,NA,US,40.15,-77.26,21590
17017,STANDARD,0,Dalmatia,,,PA,Northumberland County,America/New_York,717,NA,US,40.65,-76.87,1550
17018,STANDARD,0,Dauphin,,Ellendale-Middle Paxton-Singersville-Water Gap,PA,Dauphin County,America/New_York,717,NA,US,40.36,-76.93,4220
