OBJECTID_1,ZIP,NAME,STATE,COUNTYNAME,TotalPopulation,PercentGenZ,PercentMillenial,PercentGenX,PercentBoomer,PercentSilentGen,MedianHouseholdIncome,PercentHispanic,PercentMinority,PercentBelowPoverty,PercentPopGroupLiving,PlaceNames,Cases_1,LabelY,Shape__Area,Shape__Length,Shape_Length,Shape_Area,OBJECTID
1401,34974,OKEECHOBEE,,GLADES,,,,,,,,,,,,,0,0,788490953.510269,168886.836364196,168886.836246896,788490953.913671,1400
1402,349MH,,,GLADES,,,,,,,,,,,,,0,0,0.0682373046875,1.37329657204346,1.37339662816762,0.068237710196261,1401
1403,349MX,,,GLADES,,,,,,,,,,,,,0,0,227.649276733398,174.490025075628,174.490125679105,227.648362836508,1402
1404,33909,CAPE CORAL,,CHARLOTTE,,,,,,,,,,,,,0,0,87085.357925415,8854.62509905243,8854.62515914422,87085.3267095673,1403
1405,33917,NORTH FORT MYERS,,CHARLOTTE,,,,,,,,,,,,,0,0,21537863.1573181,34587.7699120439,34587.7694977326,21537862.8130601,1404
1406,33920,ALVA,,CHARLOTTE,,,,,,,,,,,,,0,0,785925.262756348,35484.2783203437,35484.2783252209,785925.504662633,1405
1407,33921,BOCA GRANDE,,CHARLOTTE,,,,,,,,,,,,,0,0,3946996.21969604,17614.3320574342,17614.3316611891,3946996.22430845,1406
1408,33935,LABELLE,,CHARLOTTE,,,,,,,,,,,,,0,0,1038653.37339783,36374.6760251094,36374.6761024363,1038653.38940346,1407
1409,33946,PLACIDA,,CHARLOTTE,,,,,,,,,,,,,0,0,78549000.1590271,106479.44658645,106479.44739889,78549000.1625503,1408
1410,33947,ROTONDA WEST,,CHARLOTTE,,,,,,,,,,,,,5 to 9,-1,32765311.5487823,38295.0219754621,38295.0225649271,32765311.6562081,1409
1411,33948,PORT CHARLOTTE,,CHARLOTTE,,,,,,,,,,,,,5 to 9,-1,49706156.7853394,39094.5666208567,39094.5668141687,49706156.6932247,1410
1412,33950,PUNTA GORDA,,CHARLOTTE,,,,,,,,,,,,,14,14,57089529.8787842,42259.38846615,42259.3886581076,57089529.8527615,1411
1413,33952,PORT CHARLOTTE,,CHARLOTTE,,,,,,,,,,,,,26,26,31551975.2709045,29165.0693844306,29165.0685781208,31551975.2101544,1412
1414,33953,PORT CHARLOTTE,,CHARLOTTE,,,,,,,,,,,,,<5,-2,43802428.8879547,43624.7687813633,43624.7684463345,43802428.8699957,1413
1415,33954,PORT CHARLOTTE,,CHARLOTTE,,,,,,,,,,,,,<5,-2,22791438.4461212,37926.8076797886,37926.8069590439,22791438.3291445,1414
1416,33955,PUNTA GORDA,,CHARLOTTE,,,,,,,,,,,,,<5,-2,153495429.280365,73417.8166533136,73417.8168466479,153495429.127967,1415
1417,33960,VENUS,,CHARLOTTE,,,,,,,,,,,,,0,0,175823.377792358,11448.5391371309,11448.5392098281,175823.491424002,1416
1418,33980,PUNTA GORDA,,CHARLOTTE,,,,,,,,,,,,,30,30,25436415.1608887,26058.0631180731,26058.0630647451,25436415.2870469,1417
1419,33981,PORT CHARLOTTE,,CHARLOTTE,,,,,,,,,,,,,5 to 9,-1,66841475.8034668,66104.7337897708,66104.7335823181,66841475.3958246,1418
1420,33982,PUNTA GORDA,,CHARLOTTE,,,,,,,,,,,,,<5,-2,1151032225.18781,152729.208844437,152729.209299545,1151032225.26833,1419
1421,33983,PUNTA GORDA,,CHARLOTTE,,,,,,,,,,,,,17,17,27998671.4499664,29405.9484213409,29405.948685216,27998671.4633676,1420
1422,34223,ENGLEWOOD,,CHARLOTTE,,,,,,,,,,,,,0,0,7091871.44950867,33369.1193387647,33369.1190080036,7091871.52730554,1421
1423,34224,ENGLEWOOD,,CHARLOTTE,,,,,,,,,,,,,<5,-2,35181898.5018616,46995.0275302369,46995.0272777841,35181898.7538369,1422
1424,34266,ARCADIA,,CHARLOTTE,,,,,,,,,,,,,0,0,149311.010253906,28480.2627450537,28480.2627867237,149310.823609027,1423
1425,34269,ARCADIA,,CHARLOTTE,,,,,,,,,,,,,0,0,839219.898422241,24836.3084951037,24836.3086812553,839219.521811171,1424
1426,34287,NORTH PORT,,CHARLOTTE,,,,,,,,,,,,,0,0,5956.64933776855,502.072314473473,502.07244041454,5956.64766733995,1425
1427,34288,NORTH PORT,,CHARLOTTE,,,,,,,,,,,,,0,0,411203.238952637,13884.9427021122,13884.9427237685,411203.287346096,1426
1428,33953,PORT CHARLOTTE,,SARASOTA,,,,,,,,,,,,,0,0,2613724.14683533,19097.4063637805,19097.40623244,2613724.17338045,1427
1429,33954,PORT CHARLOTTE,,SARASOTA,,,,,,,,,,,,,0,0,348481.649963379,17329.4052054523,17329.4050435165,348481.864187585,1428
1430,33981,PORT CHARLOTTE,,SARASOTA,,,,,,,,,,,,,0,0,28935249.7075958,25643.9421855645,25643.942313565,28935249.9365436,1429
1431,34201,BRADENTON,,SARASOTA,,,,,,,,,,,,,0,0,83989.5646362305,4809.02532026102,4809.02524112891,83989.5945997981,1430
1432,34202,BRADENTON,,SARASOTA,,,,,,,,,,,,,0,0,75862.1047515869,13667.106623971,13667.106569693,75861.9899850209,1431
1433,34223,ENGLEWOOD,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,73657131.9423676,68858.0741668665,68858.0741824225,73657132.1022479,1432
1434,34224,ENGLEWOOD,,SARASOTA,,,,,,,,,,,,,0,0,1876065.83981323,6646.16211882414,6646.16203403528,1876065.87179363,1433
1435,34228,LONGBOAT KEY,,SARASOTA,,,,,,,,,,,,,<5,-2,3122742.2204895,19732.169607355,19732.1692957664,3122742.33142623,1434
1436,34229,OSPREY,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,18435068.3177032,31193.5039016594,31193.5040905628,18435068.2756803,1435
1437,34231,SARASOTA,,SARASOTA,,,,,,,,,,,,,14,14,24405376.7579041,30453.246394943,30453.2459782161,24405376.8425271,1436
1438,34232,SARASOTA,,SARASOTA,,,,,,,,,,,,,11,11,29449877.4694824,24665.6133539184,24665.6132451173,29449877.4575535,1437
1439,34233,SARASOTA,,SARASOTA,,,,,,,,,,,,,5 to 9,-1,16861826.8524323,19734.0770389224,19734.0772976332,16861826.8396069,1438
1440,34234,SARASOTA,,SARASOTA,,,,,,,,,,,,,13,13,17778272.7143402,24506.1296930891,24506.1296429819,17778272.658558,1439
1441,34235,SARASOTA,,SARASOTA,,,,,,,,,,,,,11,11,17740091.673172,20078.7992801967,20078.7994364249,17740091.6656654,1440
1442,34236,SARASOTA,,SARASOTA,,,,,,,,,,,,,12,12,7741580.59786987,24964.2220864561,24964.2215532329,7741580.6750589,1441
1443,34237,SARASOTA,,SARASOTA,,,,,,,,,,,,,27,27,10234189.7506714,14838.9053226244,14838.9053992305,10234189.7915676,1442
